comment,encoded_label
please break a video into small parts,-1
really thank you so much for making this video,1
no one explain such details,0
these deep learning algorithsm dont sound gender inclusive,1
thanks sir really explanatory now i am following your ml videos those are also really great,1
sir nlpdeep learning and genative ai is the part of ds foundation bootcamp,0
hey i need help for creating a project which helps convert text to visualisation is there any resource,0
your bootcamp on ml and dl is just fantastic eagerly waiting for similar bootcamp for nlp too please release it as soon as possible thank you for helping the data science learners with cost effect easy to understand and the best animated course modules,1
dada please share your lecture slide with us it will be very helpful for us,1
sir will your upcoming bootcamp on data science cover full ml nlp and deep learning as well and generative ai,1
sir can we please expect a full generative ai course from you,1
when are you adding reinforcement learning,0
amazing,1
sir when can we expect ai ml bootcamp which is similar to data analyst bootcamp,0
thanks for the video buddy very useful still little unclear on how w qkv vectors are generated any material recommendations to understand that part,1
ye session hindi m bhi ayega kya sir,0
very well explained,1
must needed,0
waiting,0
completely agree the domain knowledge and the understanding of the pain of actual situations are really important while crunching numbers,1
when will be the data science will it take few more months please reply,1
now i m assistant professor now i want to switch in data analyst job how to combine my teaching experience and knowledge of excel power bi sql and python,0
no code no job no high salary,0
now a days no calls from hr for power bi,0
is mongodb essential in data analytics or data science,0
no cuz hr are full of idiots finding for computer science when hiring even for entry level,-1
when will be the data science will it take few more months,1
data analyst is overhyped its honestly not worth it for how hard is it to get ngl highest you can get as data analyst is k which is mostly senior positions even a someone owning a supermarket can earn yearly and even more,1
very informative,1
hi sircan you give a roadmap and technical skills needed to become a business analyst and recommend a beginner to advanced projects to addup in resume,1
please provide roadmap for data engineer,0
this was a wonderful overview sir,1
when will data science ai bootcamp will be launched,0
sir i have a question about sql interview queries what will the level of sql queries for freshers in interview,0
bro data scientist roadmap lao,0
when will be the data science will it take few more months,1
dhaval sir i had bought your only power bi course not da boot camp will i get dax scenarios updates in the power bi course,0
thank you,0
hi i am new to your channel just saw video on data science roadmap wondering which is best video should i start with interested in switching field in data scienceaiml already have exp in pythonsqltableaupower bi any recommendations to start,1
why dont you reply i have asked some genuine questions in the past and video doesnt have thousands of comments please do start replying more often,1
sir can you make a video for reinforcement learning,0
sir should i start learning coding does learning coding skills lead to job opportunities after years,0
dude i doubled my portfolio in a month using elizzarda do you think trading is still popular youre behind the trends and modern ways of earning,1
the real boom of our time is elizzarda finally a place has hit the market where you can actually make returns this is the real deal,0
can you have give a ganerative ai course,0
sir as many data analyst from industry is saying that data analyst now also required to know mc learning completely so is it correct and does that is covered in the new bootcamp as i am willing to buy it,1
how do i get your contact sir i need your help for my thesis,0
sir when is the complete data science bootcamp coming,0
at this moment i think the formula should be y x x x is area x is bedrooms and y is the resultprice because when i applied this formula to this first question then only i got the price of k,1
is data science sustainable more then years,1
very informative,1
amazing,1
thank you very much detailed information,1
thanks for information in ai,1
this was informative,0
thank you,0
good work m,1
happy new year,1
data analyst bootcamp as per youtube policy link is not clickable you can copy paste in the browser and use it,0
give the link to download videos and give chance to watch stidy and make notes as offline we can peacefully learn please allow please do the needful,1
is it live class,1
when will be the data science will it take few more months,1
suggestion give option to download video and watch it in offline so that we can peacefully learn everywhere and everytime without losing internet please,1
this video has social messages scam reality in india as well solution,0
happy new more action,1
newyear,0
happy new year sir,1
dhavalbhai happy new year what new offerings do you have for us in,1
suggestion give option to download video and watch it in offline so that i can peacefully learn everywhere and everytime without losing internet please,1
you are my favourite person in this world sir,0
happy new year,1
sir i love your attitude and thinking process you are an inspiration,1
happy new year sir and codebasics team,1
youre indeed a good mentor you impacted a lot of knowledge to so many people around the globe i recommended your youtube channel to many students a lot of them are doing well in their various jobs and portfolios,1
thank you,0
any new year coupen code,1
like the message youre really motivating me you don t know how much you have helped me get motivated happy new year buddy,1
very well said wish you happy new year sir will follow you though deeply,1
hi wishing you a very happy new year,1
grt message,0
wishing you all a very happy new year,1
uwu,0
happy new year,1
suggestion give option to download video and watch it in offline so that i can peacefully learn everywhere and everytime without losing internet please,1
sir i have a question that should i persue ai engineer role alongwith cloud computing because it is in demand and happy new year sir,1
follow indian data club a club built by data folks for data folks as per youtube policy link is not clickable you can copy paste it in the browser and use it,0
i done my codebasic course but please provide some intenship,0
any plan for pune meetup,0
how much time would it take to complete the course if i study hours daily days a week,1
sir in most of the videos there are flies that are not gettig downloaded on my system then how can i pratice for chose lectures,1
abhi kitna price h koi btao,0
after completing this course can i get job or its just a certification course i am jobless with year gaps so i need real genuine suggestion,1
what certification we will get,0
i had purchased power bi in i am still learning from it there is no one who is even close to competing with their content codebasics is the best,1
hello sir i want to becaome an ai engineer and i purchased the da bootcamp months ago but i didnt finish it yet do you recommend that i purchase the aids bootcamp now and start with it or should i finish the da bootcamp then find a job with it then try to upskill myself and start the aids bootcamp while working and once i finish try to find a job as an aids keep in mind that i dont have much time as im already working something that is not related to the field,0
i have enrolled the course but now it is showing sorry video doesnt exist it was showing can anyone help,-1
i am getting that this video doesnt exit,0
im going to enroll in this boot camp,0
what is the language of course please tell anybuddy,0
does it include live classes,1
hi team i am thinking of enrolling in bootcamp but when i go to linkedin i see that everyone is doing the same project how will our resumes get shortlisted,0
duration of this course,0
please reply me sir hi sir my age is i have years experience in mechanical field i am looking for carrier transition in data analyst shall i do this it will suit for my age please reply me sir,0
hi can you please reply is boot camp has only recorded sessions do you provide tutorials or notes for quick reference,1
anyone need code basis data analytics bootcampi will give it at k i purchased it but now i dont want it anyone want it i will give email and password if want,0
do you guys have a group where you guys study to have a better understanding of some of the concepts,1
duration of this course,0
please provide roadmap for data engineer,0
sir can i get emi option,0
bootcamp price is showing in dollars which is inr approx can you help me out with this,0
hello sir whats the average duration of the bootcamp if i dedicate hrs per week i am looking forward to starting the course this very week i declare no more delays in my professional life thank you,0
hello sir one of my friend is java developer as years of experience and he wants to switch into data anaytics but he wants to apply as year experinced one so will this bootcamp helpful for him,1
could you please bring back the old bootcamp price for a few more days missed the chance of purchasing it,0
can i know what are the timings of class per day and how many months is this course,1
if i buy excel course then does it means i have enrolled in bootcamp how does emi option work our website doesnt support an emi option right now but dont worry you can still pay in installments by following these steps first buy the excel course which is priced at inr or after you have completed the excel course buy power bi course inr or after completing the power bi course buy the bootcamp you will pay inr or this way you will pay in installments inr inr and inr,1
are we going to study in group,0
sir i really want to purchase this course i have a question can we pay through emis if it is possible and if it is possible then it really helpful for me to be honest please answer my queries thank you sir,1
please bring a boot camp in hinglish language,0
im a fresher so is this course is good or worth it for me can anyone please suggest me,1
sir i need your advice i want to take this course for my wife she is from cs background but now she had years of gap since passout she do not have any touch from the subject forgot everything she can not understand english more she wants to do job she started her learning journey is this bootcamp will be helpfull for her how it will be helpful for her as she has almost no grip on cs technical knowledge as english language as well i am little confused thats why i wanted to take your opinion before buying this,0
thanks for the boot camp course after reading all the details i have found it quite good with all the relevant topics but one thing i wanted to ask was about the current job market of data analysis because most of the people are trying in this field irrespective of their graduation and domains that is affecting the supply vs demand scenario whats the future path for data analysis aspirants in a literally dead job market your course is very informative,1
amazing highly recommended for all,1
kindly also add features engineering and exploratory data analysis,1
data science,0
thank you sir,0
is it a live course,1
can i take this course and practice in office laptop please respond,0
i want to know that is there live classes or recorded sessions,1
suggestion give option to download video and watch it in offline so that i can peacefully learn everywhere and everytime without losing internet please,1
i want to ask if i join this course is it video or its a classroom session and also what about test and exam and also if i m stuck want to take help how can i reach,0
can i follow the data science roadmap which was uploaded a year ago or you are gonna make some changes to it please reply,0
i have seen the emi type option if the price rise so at last i have to pay after purchasing excel and power bi any one help,0
buddy please answer my question i have completed diploma in mechanical engineering in after im good in excel working in lodha from last year as a senior sales executive want to go for data analytics does graduation matter for job kindy reply anyone l am totally stuck at that moment,1
please do a course on snowflake tool,0
its showing usd any answer to this,0
i am taking this frmmalaysia,0
i am from outside india can i purchase in two payments your support team suggest me to buy excel plz suggest me and your support team is no use response time not great,-1
what is the duration of this course,0
is it a self pace or there any timings for the class,0
any new year discount gonna come,1
duration of this bootcamp,0
what is the duration of the bootcamp,0
anyone looking to start his data science course in jan lets connect,0
anyone looking to start his data science course in jan lets connect,0
can a full stack developer transition to a data analyst i have years of full stack experience in a start up in kolkata some telling me not to change your job role becoz of the saturation,1
hi team thanks for the update dhaval im actually student from the first bootcamp power bi course currently i am working on pbi and i was exploring to learn fabric now that youre introducing fabric will it be available as a part of pbi course for existing members or will be available as a seperate purchase,1
i am already student of data analyst bootcamp and it is worth it specially for non it background person who want to fly with that ai era thank you dhaval patel sir and hemanand vadivel sir for that initiative which is more help for any person who have burning desire for do something in life and consistency,1
rupees usd why does the data analytics bootcamp website show the price as usd,0
bootcamp mujhe bhi join krna tha but sir sara course apka english language me hai or meri english jada strong n hai to kya karna chaiye aap suggest kare please,1
omg trust me guys you wont find anything good at this price,1
will there be a virtual lab to practice say for fabric,0
i am a boot camp student after joining this course my life has changed here in bangalore a few institutes charge indian rupees yet they do not provide good content or support if anyone is planning to become a data analyst boot camp is a better course than any other,1
sir iam degree nd year student in data science iam aspiring to become data analyst is it early to take the coursesir i know python and its libraries like pandas and matplotlib should i take these course iam a middle class student these course worth my money at last is i land jobsir and i love statistics,1
what are the pre requisition technologies,0
hi everyone if you have money go for courses which gives placement becz at the end even if u know everything u wont get job reality is freshers dont get job easily i repeat they dont get job easily in india make networks this bootcamp is good everything is organized but if you are fresher dont take this read this comment again n again commented for the good,1
earlier they were selling this course for and now it is increased to what is this,0
what is the duration of this bootcamp,0
sir do you provide placement please reply,0
hello team want to ask you that the way cloud services are getting important in field of data are you planning some course or lecture on cloud services like gcp azure aws kindly let us know,1
thanks a lot to dhaval patel this bootcamp helped me upgrade my skills and project and get a job truly recommended first customer of this course,1
i wanna become data engineer but write now working in it since years in technical operations support role so what option should be wise which course should i opt for,1
sir is it necessary or good to learn learn some of the cloud services and which cloud service is better for data side jobs data analystdata scientist aws or azure or gcp sir are you planning to add some lectures on cloud,1
is it for fresher or experienced professional,1
can i get the new features also if i enroll for full bootcamp old price what are its benefits,1
what will be the course access will it be a life time access course,0
how is job assistance portal helping students in usa or europe can you address this question and dhaval,0
is going to be a blast with microsoft fabric,0
duration of these course,0
is these boot camp is suitable for non tech fresher s,1
hello dhval sir is this bootcamp will be accessible for all time after enrolling or only for limited time,1
im in and i suggest everyone to join any course of codebasics and youll never ever regret it instead always appreciate the whole community and learning journey,1
what is the duration of this course,0
what is the duration of this course,0
first you should work on learning excel yourself i have taken your data analyst course and you just read excel scripts like a teleprompternow i regret it i should have bought the best courses on udemy insteadudemys courses are a million times better than your courses,1
sirwill you add deep learning course in data science bootcamp because before you told once you complete preparing deep learning course u will add thatthats y askingalso sir ur courses are so amazingright now im doing machine learning course of yoursi will join ur data science bootcamp if you add deep learning course thats why askingthank you so much for your teaching sir,0
sir if i bought this bootcamp now and might go to uk in the future as i have the plans to do my masters there will i be able to access the content,1
i enrolled bootcamp a few months ago just out of curiosity and trust me its the best course you can get online and i would like to thank team codebasics for these updates,1
i was pleasantly surprised by the value of this content at such an affordable price after following codebasics for two months i finally enrolled in the data analyst bootcamp by sir dhaval patel and hemanand vadivel yesterday,0
what if i purchase excel course before january and purchase remaining course after completion of excel course will the remaining course fees i have to pay will be according to or according to new course fees,1
sir new dax scenarios will be available to those who purchased only power bi course instead of bootcamp,1
is it for freshers only,0
i want to join this workshop but give answer of following questions why people are not getting jobs in data analyst because i want to start learning data analystbut i am seeing that to many people have completed data analyst course but they are not getting jobs calls is really company dont hire fresher data analyst do you think that data analyst job will increase in upcoming yearsin indiai am mechanical engineeri am currently working as lecturer in diploma collegei want to change my field to data analystbut i am seeing so many people have done done courses but not able to get jobshoud i start learning data analysti am good at maths,1
data engineer bootcamp is required,0
sir what about data science bootcamp,0
sir is there any emi option,0
i definitely say that this bootcamp gives me x more than its price there are lot of course even i see k to k courses price but if anyone reading my comment then believe me you dont need any of these high fees course you get everything here in time lesser fees then these i do not have words to praise the codebasics team,1
how much time is required for complete this course,1
is data engineering bootcamp in line,0
checkout our data analyst bootcamp as per youtube policy link is not clickable so you can copy and paste it into the browser and use it,0
course validity,0
is this course recorded or live,1
any new year discount gonna come,1
students who are already enrolled in bootcamp will they get full access in,1
suggestion integrate comprehensive ms azure and ms fabric training with power bi sql and python this could be incorporated into a bootcamp or offered as a separate training module i believe this would be highly valuable for learners any plans related to this codebasics,0
earlier they were selling this course for and now it is increased to what is this,0
thinking to purchase your course but i want to know about job assistance does companies hire from you,0
ai engineering ka course bhi lunch ker dey,0
what is the difference between and this versok of da bootcamp,0
is it recorded or live classes,1
price,0
need for data science please,0
sir make overall package of data science like this i am passionate for data science,0
can bootcamp folks get upgraded to this thanks in advance,1
i am taking my lecture and just completed power bi section i notice that after completing the video it does not take to the next lecture automatically and even by clicking the next button it may not be a problem but i notice it and open youtube and see this,0
will the existing student the updateed one,0
that awesome,1
what about data science,0
i want virtual internshiphow can i get it do i need to mandatory enroll because i have already joined other course for da but now want real hands on projectplease guide,0
levelled up,0
sir please come up with ai agentic course for real business end to end,1
data science full bootcamp,1
after bootcamp what will come absolutely bootcamp,1
fourthbootcamp,0
data analytics bootcamp,0
sir when will you be going to launch the gen ai course,0
sir i complete my diploma in data science in next few months so i can apply for data scientists job,0
great content,1
will ai replace data analytics job,0
sir please tell me one thing im now years old almost years of career gap passout in bsc microbiology no it or engineering degree just days ago i started learning data analytics should i keep learning or should i try something else which does not require it or engineering background just tell me honestly,1
link,0
i have score also interest in data analyst,0
sir link nhi mila test ka,0
data analyst suitability test as per youtube policy links are not clickable so you can copy paste in the laptop and use it,0
sir please tell me one thing im now years old almost years of career gap passout in bsc microbiology no it or engineering degree just days ago i started learning data analytics should i keep learning or should i try something else which does not require it or engineering background just tell me honestly,1
where we have to research,0
jhooth,0
hi codebasics currently i am a learner of ai bootcamp suggest me a good laptop that we can use both the ai development and for editing content creation,1
folks heres a link to our bootcamp for learning ai and data science in the most practical way,1
learning about ai agents became much easier with belikenative its content refinement and grammar correction tools ensured that my explanations and notes were clear helping me grasp the concepts faster,1
omg another amazing video,1
hello sir i am sanjeev i want to learn how a ai agemt make and code for can you tell me how i start,0
how do i get nse bse data with these libraries models,0
how can we pass temperature inside agent,0
please make video on google agent developement kit,0
hican you make a explanation video on mann,0
hi do you use nn i would love you to do a compete beginners series on this platform please i also incorporate lovable thanks in advance,1
if we want to compare two stocks from our countrys stock exchange website data then which tools should we use to fetch data from this website,0
i wish god bless for all your videos lots of clarity in your speaking you understand the beginners deliver content nicely,1
the best thing about your educational videos is that you explain concepts in such a way that it feels like youve read my mind precisely explaining them in the simplest way although im not an ai expert ive grown much more confident in ai and genai after watching your videos thank you,1
i learn english for your,0
boring video,-1
i had to install phidata as well as groq phidata didnt have groq module can you please check and confirm,0
this is by far the best video ive come across thank you for sharing such valuable knowledge could you please create a video on pydantic ai as well,1
thats great information thanks and respect sir just one question how model will get upto date infomration supppose it is calling tool and tool has just string and llm can understand that string right but how to get latest information i know it feeels dumb but first leaner become shit than become good right,1
how to implement rag chatbot which have multiple retriever tools and retrieve the source documents and generate an answer using langgraph,0
kindly post video about how to build ai sales and marketing outreach agent for real estate companies,1
good info,1
loved the easy of using phidata among all the agent frameworks available today which do you think is the best for a production environment phidata autogen langchain llamaindex,1
you said data is local but data is still flowing to the models which are hosted on groqcloud right,1
i am getting issue ssl certificateverifyfailed certificate verify failed selfsigned certificate in certificate chain sslc do we need to additional setup,-1
thankswhen i saw this videli get all the problems done,0
i am working in a fashion retail company and want to build my own model to generate sales demand forecast advanced purchase orede requirements any template i should refer please help here codebasics,1
very well explained thank you,1
whats the difference between having a team of agents vs just one agent with both duckduckgo tool and yahoo finance tool feels like hallucinations due to overlapping info could be one reason,-1
can i deploy the python codebase as an api,0
if we need to make a biological analogy can we call agent as a brain with a body as in a body brain is what gives the intelligence but the body parts hands legs eyes do the actual work or bring in the inputs also the human is only as effective and smart as the brain is irrespective of how good their body is thoughts,1
is this vid sponsored by the phidaya it self,0
is this opensource,0
great tutorial explains the basics very clearly an additional useful info to complete the loop is an explanation of how agents like yfinancetool are created and who creates them are these regular apis provided by external services wrapped inside a python function,1
thank you for featuring us dhaval you are the best,1
everyone is talking about ai agents but none of them are showing how a client customer will be using it will it be an app or a website i feel the ai agents are like nfts and cryptos too much hype and them disappear,1
so much good boiiii,1
great video as always i have been a fan quick feedback you are falling behind in genai ai engineering videos ai automation agents inference tuning fine tuning rag agentic ai etc the reason i give feedback is you have a gift to explain complex topics easily,1
can you please make a video where agent uses internal data from an api,0
i am using grok for agents but its asking openai key why,0
hello i am facing issue with this error message the model llamagroqbtoolusepreview has been decommissioned even though i have specified llamabversatile as my model i am using python version can that be a problem,0
gujarati accent hehe,0
very well explained and with proper understanding i like your systematic approach amazing keep it up,1
phi is not working with python version i also had earlier it was not working still seems like something cchanged in python which made phi incompatible,0
your coverage of every phase in generative ai is incredibly informative and superbly detailed thank you for sharing your valuable information,1
i am a digital marketing specialist and i want to learn coding to automate task by building ai agents what do you suggest which language should i learn first,1
the example you give about the agent having memory of previous pizza orders this doesnt require agentic ai to do this a simple crm lookup on initiation will find this information and you can specify with rules what to do in which scenario you can also initiate the weather feature in a traditional chatbot but why youd want to do that i have no idea an agent needs four core components reactivity sensing and acting in its environment autonomy which you mention goal orientation being proactive and purposeful and temporally continuous persisting over time,0
kindly explain this error info post vplaygroundagentrun unprocessable entity,1
hi i want your help in creating this i have no idea how to write a code or ai in depth i am a user here is what i am looking for i want to create an ai agent or multiple ai agents that can analyze companies in which i want to invest in the indian stock market create an independent investment report like the large investment firms release every quarter for the companies they track this bot should be able to run through the internet to collect all kinds of information about the company like yearly reports financial reports industry prospects concall news websites that publish their independent reports and something written about the company not in the news but on some other platforms like blogs or quora or anything this bot should act as my financial advisor telling me should i buy the shares or no at what price should i buy its growth prospects in short term medium term and long term etc can you help me in making it,0
to those who cant afford openai api key use this as instructions instead instructionsif a company is found to be not a public company use getcompanysymbol tool use tables to display data this should work,0
after create your agents how is possible to deploy in production as for example in a webpage,0
i was using groq api to use llama model and made the web and finance agent but when i use the agent team response it is giving and error i looked into it the update agent function is defaulting to openaichat and cannot understand how to use the groq is this something you guys are also getting,0
i did pip install phidata but the module does not seem to have phiagent in there and i cant seem to run even the first import line without an error anyone face this edit i fixed the issue it turned out to be because of the interpreter in pycharm that i was using to check if your issue is the same as mine try running the file in the terminal for me running it through the terminal worked but i kept getting module not found error in pycharm i tried changing the python interpreter but ultimately i gave up and switched ide to cursor which worked hopefully this helps someone save some time,0
this is very educative and very informative thank you,1
i truly appreciate the quality of your platform and the exceptional curation of your courses i am going through your sql course and i was impressed by how wellstructured and insightful it was it would be amazing if you could create a detailed course on generative ai and agentic ai your expertise will help us thank you,1
you are very visionary in dubbing your videos into spanish this is very important to gather a large audience in the world and with a lot of potential excellent,1
thank you so much do you need be full blown developer to develop ai agnt i have beginner level python coding skills thanks also can you recommend any training,1
you are very right sir sometimes you have to run the app at least thrice with the same inputs before it works it usually throws exception all your contents are super quality,0
beautiful tutorial,1
ran into multiple errors starting to figuring out i think its of phi library python version and even groq,0
thanks for including the unexpected behavior it shows even experts have to hack around a bit,1
can we done this only using vs code without using pycham,0
hi im trying to install phidata on my mac i followed the installation steps but when i try to verify the installation by checking the version in the terminal i get a modulenotfounderror if anyone knows how to resolve this issue please let me know thank you,0
thanks,1
thanks a bunch your video is awesome ive watched it over three times and its really helped me out,1
im using windows what program are you using,0
i understand llm self hosted will be best for hipaa complianceis there any saas product available with hippa compliance to use llm as service instead self hostedany idea,1
i cannot access to the openai api without adding credits right,1
this is damn good,1
krish naik content duplication,0
is this sponsored,0
why do i keep getting error module inspect has no attribute getargspec i have downgraded my python to and as well still see the same error when i run it,0
what is the terminal theme he is using,0
brilliant thank you so much,1
is it possible getting an agent just to search for scholarship with special criteria that i give search web result all and provide those that meet the criteria and is intelligent please let me know,1
can you add a end to end project on agenttic ai,0
brilliant thank you for an amazing video on ai agents provided so much more clarity here,1
why am ai agent like phidataneed both tools ana models to perform specific task what will be the drawback if we use only model or tools for the ai agent instead of both also what will be the consequences of using a rag model for lhidata,0
thats great tutorial can we create team of agents to get one from chatgpt and one from perplexity and other llama etc,1
i saw you have made agents plz let us know how these can practically use how can i made this for my small business and unitlite like real estate business or affiliate agents etc plz complete one product end to end solution,0
i used this as my prompt to make llama work agentprintresponsesummarize and compare tesla and nvidia stocks,0
youve made it so simple that i get tempted to get into ai agents,0
cant get the phi agent installed in pycharm,0
superb job will try them now thanks,1
even if we dont have idea on llm can we do this project or not,0
thanks for the insightful video phidata setup is not clear is there another video for this,0
i want to learn more about this,1
love your video how can one implement ai agent to analize data in relation to populatio trends crime statistic etc gross and fine data in general,1
the way an agent is built here is quite sophisticated i think ill stick with building prompts as agents good job btw,1
to learn,0
thank you this is a very good tutorial,1
hello sir is it pycharm can i you vs code also if yes then is there any change setting or not sir i am totally new in this field please guide step by step though you are the best it is my weakness but will learn it hard thank you,1
great content,1
i am sorry but your videos are not clear means what you wright not clear kindly look into,0
i am unable to run this on vs code please help,-1
great video thanks for posting,1
excellent explanation,1
thanks,1
from phiagent import agent from phimodelopenai import openaichat from phimodelgroq import groq from phitoolsduckduckgo import duckduckgo from phitoolsyfinance import yfinancetools from dotenv import loaddotenv phiagent not detecting in ide can someone help,0
super videos thanks for posting no one explained better thank you,1
hello bhai i had bought only power bi course last year will i get dax update on this course because i did not buy the bootcamp please reply,0
why groqcloud is providing free service,1
do you have paid api i am getting i do not have quota available,1
like the way you teach however the output from print response is just thinking no content appears,0
i am not sure if the commenters here praise after trying or listening it took hrs over two days to figure out all the issues and run st script,-1
how do i integrate with bloomberg,0
openai is not working for me but its fine with groq,1
my company is using sais model meaning they have wrapped gptcloude call as an api and given us the api to make calls to gpt or cloude based on our ldap ids we do not have direct api keys can you help me how i can implement,0
this dude is amazing,1
sir is agentic ai and agent ai the same thing kindly answer,1
great topic thanks,1
naac aqar calculations ai agent,0
thank you well explained,0
fantastic tutorial very clear and to the point thanks,1
hi sir lots of love sir for what youre doing for us i have one request sir please dont use the background music while teaching it is a bit distracting thanks sir,1
great video any tips how to create the best ai logo generator what should i use for it,1
hello sir why your data science foundation bootcamp does not include deep learning part,0
error while using the api key from phidatahow to solve the issue,0
thanks this my first ai agent learning,1
hii anybody suggest me best channel or course i have interest in iot and embedded system plz helpe for road map sir plz reply for this comment,1
loved this wating for more videos on ai in the future,1
please come up with replit tutorial,0
i cant create an groq api without an org verification,0
i think for me agent ai is nothing just a multiple knowledge graph,0
hello sir im really interested in connecting with you regarding a project id like to discuss could you let me know how i can reach out to you directly thank you,1
with ai every step forward is a leap into the future,0
thank you for another valuable tutorial on ai agents i hope you continue this series and show us how to build more autonomous ai agents for various realtime llm applications such as robotic manipulation controlled autonomously through voice commands by the way ive encountered a similar issue beforethe error json does not match the expected schemas for tool calls happens when an llm like llama generates a response that isnt properly parsed into the required json format i faced this with llama while building an llm app and needing json output looking forward to learning more from your content,1
god bless you dhaval,0
how to get open ai api keys,0
sir where is the hr data analytics project source code i cant able to find that in your website can you pls tell me where is it,1
keep the good work one of the best i have seen,1
aitutorialmaker ai fixes this ai driven tutorials ai agents tutorial for beginners,0
hi dhaval sir i would like to know traditional llm learning is required to learn ai agents or we can start with ai agents if we are aware till transformer architecture please suggest,1
hi sir i tried but for me getting typeerror groqinit got an unexpected keyword argument id i used all the ways but not able to resolve in your code at can you please resolve,0
thank you,0
please make a masterclass course on ai agent pleaseeeeeeee,0
please do a data science road map for as a beginner guide with free resources,1
pls make a boot camp on genartive ai and ai agent,0
te sigo desde aprendi mucho con tus videos machine learning pandas etc me gusta que ahora estes con temas de inteligencia artificial gracias saludos,-1
how to upload documents or images and ask questions about them using the api,0
you are the best tutor i have ever seen in youtube your changing lives of peoples make their career better and fear free live long,1
excellent buddy,1
sir when will you be going to launch the full boot camp for data science,1
thank you so much i was searching for this type of explaining video,1
so while creating agents can we also give data from using website apis will that work,0
github link not working sir,0
dhaval sir please can you suggest some books for beginners in data science stream for st year student,0
great explanation the url is the source code is not working can you please reshare the source code url,1
is groq giving free api keys for these open models only or paid models also,1
talking about agents meet an agenticai code reviewer also a sponsor of this video youcan get onemonth free access to this ai code review tool using a code codebasics,1
where have you been all my life your videos are the best amongs the b videos on ai thank you so much,1
these frameworks are too simplistic extensions of llm apis havent seen any amazing framework for ai agents since few years just a pessimist opinion,0
did you use a llama text completion model or is there an option for instructions tuned model as well,0
nice,1
very nice thank you very much for sharing,1
it would be great if you can make a detailed course like data analysis for ai agent creation so that everyone could make and become an entrepreneur,1
excited,1
sir i want to do an internship in data analyticswill you please suggest me which company is providing it or can i do it under your organization,0
thank you so much for conducting a live session you cleared so many of my doubts more power to codebasics,1
honestly youre eroding the value of this channel by focusing so much on career advice please stick to your core strength teaching concepts in an intuitive and engaging way most of us here have more professional experience than both of you combined but were here to enhance our analytical skills through your guidance,1
when my question came on top you guys still did not answer it why,1
employees using chatgpt to do work in background,0
is it a promotion,0
sir i am a student and it is my last year im struggling to find a field where i can start i was thinking about ai engineering but looking at the market i dont see a lot of opportunities please help me,0
good work,1
so criminals should be encouraged to use ai,0
i love what you are sayingin future people will commit crime and use ai to edit images at the scene of the crime if recorded ai drones will also be remotely controlled to carry gun and rob peoplein future if some controls arent in place age of robotics,0
if disney cold never get that fifth finger do you think ai will ever figure out how hands work,-1
why spiderman is wearing superman suit,0
nothing is real anymore,1
that is a very good tool but unfortunatelly teachers and students in bulgaria cant use it,1
sora india me chal rha h,0
sora is paid they should try to make it free like chat gpt still need several improvements,1
where are you,0
why stress when ai has it figured out,0
the funny thing is this is not spiderman after all,1
the front blow too big not even a graphic raw video and the raw image of many errors too bad,-1
waiting for full data science bootcampthis december,1
give them total freedom ethnical kya hota hai,0
youre doing a fantastic job a bit offtopic but i wanted to ask i have a safepal wallet with usdt and i have the seed phrase alarm fetch churn bridge exercise tape speak race clerk couch crater letter whats the best way to send them to binance,1
can you please make a tutorial on reinforcement learning i am very eager to learn it from you your deep learning tutorial was amazing,1
spiderman ko superman bna diya,0
plz tell us how can we compete open ai and google deep mind,0
prompt is bad,-1
hi dhaval thanks a lot for bringing such an informative video for us kindly specify if there are any specific hardware requirements for creating such amazing videos,1
sir waiting for your nlp and deep learning course,0
where do you live,1
it will be great in future like sam altman said this one is like gpt,1
sir please make tutorial for aws for gen ai,0
already making money with sora,0
you werent able to use your photos because you are on the plus plan thats only availible to pro users,1
talk about the jobs,0
ethical regulation is required,1
its free or paid,1
cant tell the difference sir,0
hi codebase how are you editing i would like to start but due to editing time i am starting this,0
insightful,0
boss owners itself are telugu people re,0
how u got telugu movie whats the native of editor,0
sir please tell me one thing im now years old almost years of career gap passout in bsc microbiology no it or engineering degree just days ago i started learning data analytics should i keep learning or should i try something else which does not require it or engineering background just tell me honestly,1
great,1
meanwhile me who has neither of these skills,0
decision tree,0
sir if im not from a non it non maths backgrounddoes it possible to become an ai engineerhow much time it takes to build the skills and ready for job,1
chennai,0
pune,0
meet up editing,0
bangalore again,0
madurai sir,0
sir please make a this type o event at kolkata we are egarly waiting for that,0
watching the idc launch video right now and im so happy to see our meetup snaps featured such a wonderful surprise,1
nice to see codebasics on stage it gives immense support to beginners like me,1
people like videos and comment on other high paid courses and like the content of big edtech companies but dont like such content of codebasics codebasics has provided quality content in very low price and affordable price im from non tech background but codebasics has helped me alot now i knew lots of things and non tech person also get into it field thank you so much dhaval patel and hemanand thanks alot guys,0
sir i need to ask you that is it possible to do electrical engineering in bachelors and theoretical physics in masters my second question is that if we want to do research in advanced technology does electrical engineering is good for us,1
